stop_I;lat;lon;name
531;52.542.843;13.198.615;Flankenschanze  
532;52.539.088;13.178.762;Schulzenstr.  
533;52.542.049;13.205.963;Wröhmännerpark  
534;52.538.606;13.200.725;Moritzstr.  
535;52.548.662;13.200.837;Hügelschanze  
536;52.548.637;1.319.435;Windmühlenberg  
537;52.546.225;13.200.078;Kurze Str./Mittelstr.  
538;52.545.307;13.203.694;Predigergarten  
539;52.539.165;13.206.769;U Altstadt Spandau  
540;52.535.802;13.199.897;S+U Rathaus Spandau  
541;5.253.604;13.204.767;Breite Str./Markt  
542;52.537.743;13.141.732;Berlin, Staaken Bhf
543;52.534.924;13.198.753;S+U Rathaus Spandau   [Bus Seegef. Str.]
544;52.527.763;13.231.801;Krematorium Ruhleben  
545;52.528.339;13.228.251;Polizeidirektion 2  
546;52.528.677;13.221.659;Güterbahnhof Ruhleben  
547;52.528.731;13.207.661;Heidereuterstr.  
548;52.530.836;13.221.424;Freiheit 16-43  
549;52.531.813;13.213.788;Pichelswerderstr.  
550;52.528.961;13.237.581;Werkring  
551;52.526.092;13.207.309;Tiefwerderweg  
552;52.529.547;1.323.303;Klärwerkstr.  
553;52.532.508;13.209.136;S Stresow  
554;52.533.862;13.206.771;Stresowplatz  
555;5.253.227;13.208.672;S Stresow [Vorplatz]
556;52.530.565;13.204.028;Ruhlebener Str./Grunewaldstr.  
557;52.532.961;13.198.198;Brunsbütteler Damm/Ruhlebener Str.  
558;52.529.044;13.195.351;Ziegelhof  
559;52.533.831;13.176.912;Päwesiner Weg  
560;52.528.531;13.191.889;Krumme Gärten  
561;52.525.054;13.197.172;Metzer Platz  
562;52.533.906;13.193.655;Elsflether Weg  
563;5.253.432;13.188.214;Grünhofer Weg  
564;52.534.108;1.318.246;Nauener Str.  
565;52.533.583;1.317.017;Egelpfuhlstr.  
566;525.333;13.163.295;Harburger Weg  
567;52.517.624;13.186.245;Am Omnibushof  
568;52.516.697;13.179.164;Heerstr./Wilhelmstr.  
569;52.511.021;13.171.588;Weinmeisterhornweg  
570;52.521.668;13.188.933;Melanchthonplatz  
571;52.525.305;13.177.509;Lutoner Str.  
572;52.515.544;13.184.849;Gatower Str./Heerstr.  
573;52.521.056;13.193.454;Földerichplatz  
574;5.252.341;13.184.604;Kolonie Hasenheide  
575;52.513.738;13.174.842;Rodensteinstr.  
576;52.508.427;13.167.586;Karolinenhöhe  
577;52.527.763;13.187.889;Seecktstr.  
578;52.526.331;13.181.883;Seeburger Str./Päwesiner Weg  
579;52.509.147;1.318.017;Gatower Str./Weinmeisterhornweg  
580;52.512.448;13.182.615;Sandheideweg  
581;525.034;13.179.721;Zur Haveldüne  
582;52.498.148;13.180.052;Biberburg  
583;52.493.419;1.318.019;Emil-Basdeck-Str.  
584;52.490.812;13.180.326;Pfirsichweg  
585;52.486.748;1.318.222;Gatow Kirche  
586;52.527.023;13.216.456;Teltower Str.  
587;52.508.952;13.217.135;Stößenseebrücke  
588;52.512.302;13.200.641;Freybrücke  
589;52.510.655;13.208.786;Pichelswerder  
590;52.523.747;1.320.281;Götelstr.  
591;52.522.514;13.197.752;Pichelsdorfer Str./Weißenburger Str.  
592;52.513.211;13.196.954;Alt-Pichelsdorf  
593;52.525.465;13.193.868;Metzer Str.  
594;52.517.599;13.197.633;Genfenbergstr.  
595;52.514.159;13.191.205;Jaczostr.  
596;52.521.012;13.197.799;Betckestr.  
597;52.537.526;1.321.763;U Zitadelle  
598;52.538.549;13.214.269;Zitadelle Spandau  
599;52.537.107;13.223.367;Motorradwerk  
600;52.538.102;13.248.598;U Paulsternstr.  
601;52.538.722;13.232.314;U Haselhorst  
602;52.544.283;13.246.209;Paulsternstr./Gartenfelder Str.  
603;52.547.123;13.236.766;Lüdenscheider Weg  
604;52.543.128;13.240.633;Haselhorster Damm/Gartenfelder Str.  
605;5.254.192;13.235.882;Siedlung Haselhorst  
606;52.544.941;13.238.326;Burscheider Weg  
607;52.544.694;13.231.833;Lüdenscheider Weg/Daumstr.  
608;52.552.757;13.230.879;Kolonie Haselbusch  
609;52.546.414;13.230.687;Stadion Haselhorst  
610;52.549.159;13.227.683;Kleine Eiswerderstr.  
611;52.554.814;13.225.762;Daumstr./Rhenaniastr.  
612;52.557.837;13.227.114;Haveleck  
613;52.539.584;13.232.368;U Haselhorst/Daumstr.  
614;52.537.029;13.273.329;U Siemensdamm  
615;52.547.959;13.258.947;Saatwinkler Damm/Rohrdamm  
616;52.536.765;13.267.779;Quellweg  
617;52.548.655;13.270.274;Mäckeritzbrücke  
618;5.254.832;13.247.783;Gartenfeld  
620;52.538.161;132.867;Toeplerstr./Halemweg  
621;52.538.172;13.282.308;Schweiggerweg  
622;52.538.122;13.280.288;Goebelplatz  
623;5.253.688;13.278.837;Popitzweg  
624;52.548.465;13.262.898;Saatwinkler Damm 137  
625;52.536.908;13.262.875;U Rohrdamm  
626;52.533.388;13.268.434;Wohlrabedamm/Rohrdamm  
627;5.253.256;13.272.757;Wohlrabedamm Mitte  
628;52.537.568;13.256.542;Schaltwerk  
629;52.531.243;13.267.355;Rohrdamm/Wasserwerk  
630;5.254.164;13.262.407;Straße am Schaltwerk  
631;52.543.955;13.261.088;Köttgenstr.  
632;52.546.151;13.259.927;Harriesstr.  
633;52.532.985;13.157.878;Magistratsweg/Brunsbütteler Damm  
634;52.540.844;13.147.281;Heidebergplan  
635;52.532.585;13.142.629;Brunsbütteler Damm/Nennhauser Damm  
636;52.535.286;13.137.438;Staakener Feldstr.  
